P(Gpa),T (C),FeO total,SiO2 value,TiO2 value,Al2O3 value,Cr2O3 value,MnO value,MgO value,CaO value,Na2O value,SiO2 value,TiO2 value,Al2O3 value,FeO value,MnO value,MgO value,CaO value,Na2O value,K2O value
7,2000,17.26000023,39.83000183,0.379999995,21.76000023,0.07,0.419999987,9.569999695,9.630000114,0.319999993,52.13999939,1.370000005,14,12.01000023,0.200000003,4.019999981,9.420000076,2.029999971,0.460000008
10,2100,17.21999931,40,0.270000011,21.02000046,,0.439999998,9.829999924,8.93999958,0.439999998,52.31000137,1.230000019,13.11999989,11.42000008,0.189999998,3.789999962,9.409999847,1.980000019,
12,2200,16.11000061,41.54000092,0.25999999,21,0.02,0.409999996,9.319999695,9.670000076,0.879999995,54.09999847,1.139999986,13.73999977,11.15999985,0.170000002,3.730000019,9.130000114,2.150000095,0.400000006
14,2300,16.20000076,41.27000046,0.270000011,20.47999954,,0.379999995,9.340000153,10.07999992,1.00999999,52.88000107,1.200000048,14.22999954,12.35999966,0.219999999,4.130000114,9.56000042,2.039999962,
15,2400,15.18000031,41.70999908,0.270000011,20.62999916,,0.409999996,9.329999924,10.43000031,1.039999962,53.50999832,1.019999981,14.57999992,11.82999992,0.230000004,4.239999771,9.050000191,1.820000052,0.310000002
1.5,1000,18.98999977,39.38999939,0.910000026,21.81999969,0.029999999,0.439999998,8.93999958,9.369999886,0.07,68.09999847,0.680000007,19.37000084,1.700000048,0.029999999,0.540000021,3.75999999,4.670000076,0.519999981
1.5,1100,22.51000023,38.22000122,2.180000067,20.67000008,0.029999999,0.899999976,7.070000172,8.529999733,0.079999998,61.49000168,1.269999981,20.20999908,4.340000153,0.150000006,0.810000002,6.71999979,2.619999886,1.139999986
1.200000048,1000,13.10999966,41.08000183,0.620000005,23.26000023,0.059999999,0.270000011,15.39999962,7.670000076,0.050000001,66.98999786,0.529999971,17.92000008,2.049999952,0.079999998,1.570000052,4.980000019,4.849999905,0.289999992
1.5,900,12.89000034,41.06000137,0.680000007,23.18000031,0.079999998,0.239999995,12.97999954,9.220000267,0.100000001,72.27999878,0.270000011,16.79000092,0.589999974,0.01,0.370000005,4.070000172,4.960000038,0.400000006
1,900,20.02000046,38.45000076,0.050000001,22.06999969,0.129999995,0.319999993,9.710000038,9.430000305,,70.52999878,0.569999993,17.47999954,2.230000019,0.059999999,0.939999998,4.090000153,3.160000086,0.949999988
1,950,17.51000023,38.95000076,0.02,23.45000076,,0.469999999,11.64999962,7.849999905,,66.37000275,0.620000005,18.11000061,3.200000048,0.02,1.480000019,4.829999924,4.440000057,0.920000017
1,1000,16.01000023,40.38000107,0.01,23.27000046,,0.25,13.97999954,7.630000114,,67.87999725,0.889999986,17.07999992,3.710000038,0.090000004,1.190000057,3.299999952,3.789999962,2.069999933
1.5,950,16.63999939,40.15000153,0.059999999,23.20999908,0.109999999,0.409999996,12.77000046,6.53000021,,74.20999908,0.280000001,15.67000008,0.810000002,0.029999999,0.810000002,2.579999924,4.170000076,1.429999948
1.5,1000,17.56999969,38.97000122,,23.05999947,0.090000004,0.170000002,12.46000004,8.100000381,,73,0.550000012,16.62000084,1.230000019,0.029999999,1.00999999,2.940000057,3.670000076,0.949999988
1.5,1050,16.60000038,39.22999954,0.059999999,23.22999954,0.170000002,0.200000003,12.97000027,7.400000095,,71.43000031,0.75999999,15.76000023,2.299999952,0.059999999,1.019999981,2.549999952,3.960000038,2.150000095
1.799999952,1050,17.62999916,39.63000107,0.050000001,22.23999977,0.159999996,0.310000002,10.26000023,9.340000153,,70.97000122,0.709999979,17.04999924,1.149999976,0.029999999,1.080000043,4.079999924,3.839999914,1.080000043
2.099999905,975,17.31999969,38.86999893,0.119999997,22.71999931,0.02,0.800000012,10.34000015,9.170000076,,73.25,0.310000002,16.62999916,0.75999999,0.02,0.389999986,2.029999971,3.420000076,3.200000048
2.099999905,1025,17.93000031,39.25999832,0.090000004,22.01000023,0.029999999,0.289999992,10.25,10.89000034,,71.12999725,0.400000006,16.71999931,0.930000007,0.07,0.680000007,3.069999933,5.210000038,1.789999962
2.099999905,1050,16.92000008,38.86999893,0.01,22.54000092,0.109999999,0.330000013,11.73999977,9.369999886,,70.63999939,0.529999971,16.54000092,1.370000005,0.129999995,0.829999983,3.779999971,4.559999943,1.620000005
2.099999905,1100,16.56999969,39.27999878,0.100000001,22.53000069,0.050000001,0.379999995,11.89000034,8.239999771,,70.48999786,0.790000021,17.30999947,0.99000001,0.039999999,0.930000007,4.090000153,4.239999771,1.120000005
2.700000048,950,17.71999931,39.54000092,,22.95000076,,0.25999999,11.86999989,7.849999905,,69.87999725,1.24000001,16.36000061,1.649999976,0.02,0.959999979,4.699999809,3.529999971,1.659999967
2.5,1460,3.099999905,44,0.200000003,19.20000076,0.330000013,0.109999999,9.800000191,23.29999924,0.079999998,38.09999847,0.5,14.5,5.5,0.25999999,6,24.70000076,0.180000007,0.02
5,1690,9.659999847,42.40000153,0.170000002,22.20000076,1.299999952,0.310000002,20,4.53000021,0.039999999,45,0.280000001,8.699999809,8.100000381,0.200000003,17.10000038,19.10000038,0.310000002,0.079999998
7.5,1805,4.900000095,40.20000076,0.689999998,21.20000076,0.129999995,0.289999992,3.700000048,29.70000076,0.01,39.90000153,0.899999976,4.5,18.5,0.5,6.800000191,26.89999962,0.119999997,0.017999999
7.5,2130,2.599999905,40.70000076,0.200000003,22.79999924,0.189999998,0.150000006,4,30.29999924,0.01,41,0.270000011,10.69999981,8,0.25999999,6.5,31,0.140000001,0.02
2.5,1520,7.599999905,42.70000076,0.109999999,22.39999962,1.100000024,0.189999998,21.70000076,4.300000191,0.02,47.20000076,0.460000008,13,10.60000038,0.200000003,13.19999981,10.69999981,0.74000001,0.050000001
5,1620,8.399999619,42.79999924,0.129999995,21.70000076,1.100000024,0.310000002,21,4.900000095,0.01,44.40000153,0.479999989,11.19999981,12.80000019,0.270000011,21.20000076,8.600000381,0.379999995,0.050000001
5,1760,5.5,42.5,0.129999995,21.86000061,1.600000024,0.200000003,22.60000038,4.099999905,0.01,42.90000153,0.349999994,13,12.19999981,0.340000004,19.20000076,8.220000267,0.300000012,0.01
5,1860,6,43.29999924,0.150000006,21.79999924,1.600000024,0.140000001,22.5,4.599999905,0.100000001,43.70000076,0.400000006,5.400000095,15,0.200000003,22,9.800000191,0.419999987,0.039999999
7.5,1929,5.300000191,44,0.230000004,21,0.930000007,0.119999997,24.5,4.400000095,0.02,55.20000076,0.050000001,2.430000067,5.099999905,0.119999997,26.70000076,10.19999981,0.370000005,0.015
7.5,2180,5.300000191,39.79999924,0.209999993,29.20000076,1.899999976,0.129999995,24.29999924,0.600000024,0.02,43.09999847,0.319999993,12.5,12,0.219999999,18.39999962,9.600000381,0.219999999,0.029999999
7.5,2179,8.199999809,44.09999847,0.189999998,17.60000038,1.399999976,0.280000001,21,6.199999809,0.119999997,37.40000153,0.899999976,11.39999962,20.79999924,0.360000014,16.29999924,8.300000191,0.109999999,0.029999999
10,1991,5.199999809,44.70000076,0.119999997,20.70000076,1.200000048,0.109999999,24.79999924,4.400000095,0.029999999,44.79999924,0.469999999,4.599999905,14.19999981,0.180000007,25.29999924,9.5,0.400000006,0.018999999
5,1560,9.300000191,39.29999924,2.5,21.70000076,0.769999981,0.159999996,11.80000019,13.80000019,0.219999999,32.90000153,3.200000048,10.5,9.800000191,0.07,6.699999809,14.89999962,3.200000048,2
7.5,1754,9.199999809,40.20000076,1.299999952,21.60000038,0.059999999,0.349999994,9.600000381,16.29999924,0.200000003,43.90000153,3.5,11.60000038,10,0.189999998,6.900000095,14.89999962,3.299999952,0.699999988
10,1921,7.400000095,40.20000076,2.599999905,20.29999924,0.039999999,0.25,7.489999771,21.60000038,0.600000024,40,3.599999905,4,13.69999981,0.25999999,5.900000095,8.300000191,10.10000038,11.30000019
10,1929,6.5,40,2.5,19.70000076,0.029999999,0.25999999,8.399999619,21.10000038,0.389999986,37.5,3.599999905,6.400000095,11.06000042,0.25,8.399999619,14.10000038,6.400000095,5.900000095
