P(Gpa),T (C),FeO total,SiO2 value,TiO2 value,Al2O3 value,Cr2O3 value,MnO value,MgO value,CaO value,Na2O value,SiO2 value,TiO2 value,Al2O3 value,FeO value,MnO value,MgO value,CaO value,Na2O value,K2O value
2,1340,14.71000004,41.34000015,0.189999998,22.80999947,0.140000001,0.270000011,15.60999966,5.5,,44.11999893,1.50999999,13.18000031,13.36999989,0.189999998,12.93999958,9.68999958,2.579999924,1.019999981
2,1360,14.86999989,41.59000015,0.280000001,22.76000023,0.119999997,0.280000001,15.82999992,5.090000153,,44.43000031,1.429999948,13.97000027,12.82999992,0.189999998,13.39000034,9.909999847,2.170000076,0.889999986
2.5,1370,14.98999977,41.88999939,0.230000004,22.13999939,0.300000012,0.170000002,15.89000034,5.210000038,,43.81999969,1.370000005,12.93999958,13.90999985,0.189999998,12.86999989,9.850000381,2.890000105,1.269999981
2.5,1400,14.09000015,41.47999954,0.280000001,22.76000023,0.239999995,0.170000002,16.09000015,5.269999981,,44.13999939,1.190000057,13.60999966,13.01000023,0.189999998,13.68999958,9.93999958,2.579999924,1.00999999
2.5,1430,13.01000023,41.41999817,0.419999987,22.78000069,0.140000001,0.170000002,16.17000008,5.099999905,,44.70999908,1.039999962,14.69999981,12.09000015,0.209999993,14.67000008,10.17000008,2.079999924,0.689999998
2.5,1460,12.01000023,41.65000153,0.239999995,22.45000076,0.090000004,0.170000002,17.51000023,4.989999771,,45.49000168,0.870000005,15.60999966,9.270000458,0.180000007,15.81000042,10.34000015,1.100000024,0.409999996
2.5,1478,11.10000038,41.59000015,0.100000001,23.04000092,0.209999993,0.280000001,17.57999992,5.25,,46.00999832,0.699999988,16.28000069,8.119999886,0.209999993,16.29000092,10.48999977,1.039999962,0.209999993
3,1430,13.89999962,39.90000153,0.819999993,22.5,,0.430000007,14.19999981,7.050000191,0.090000004,51.40000153,3.069999933,14.39999962,10.19999981,0.140000001,5.210000038,9.239999771,2.480000019,0.569999993
2,1350,8.149999619,41.63999939,0.270000011,23.54000092,0.720000029,0.200000003,19.64999962,6.71999979,,45.65999985,1.120000005,16.02000046,7.840000153,0.129999995,10.27000046,9.25,2.410000086,2.24000001
3,1400,9.100000381,41.33000183,0.639999986,23.13999939,0.409999996,0.209999993,18.95999908,7.039999962,,48.13000107,1.309999943,16.20999908,7.739999771,0.129999995,7.659999847,7.809999943,2.900000095,2.910000086
2,1220,15.56000042,39.66999817,0.140000001,21.92000008,0.050000001,0.670000017,15.47999954,5.71999979,0.109999999,56.45000076,1.50999999,18.20999908,7.349999905,0.189999998,4.070000172,4.730000019,3,3.75999999
2,1375,9.399999619,42.29999924,0.5,22.70000076,0.5,0.270000011,18.89999962,5.599999905,0.02,44.40000153,2.299999952,16.39999962,12.81000042,0.100000001,10.60000038,9.300000191,3.779999971,0.119999997
2.5,1500,6.099999905,43.20000076,0.419999987,23.06999969,0.219999999,0.180000007,20.89999962,6.099999905,0.01,45.20000076,1.299999952,15.19999981,9.100000381,0.170000002,15,11.19999981,1.909999967,0.050000001
2.5,1475,8.600000381,41.59999847,0.600000024,22.89999962,,0.200000003,19.10000038,6.099999905,0.029999999,42.70000076,1.870000005,14.53999996,12,0.170000002,13.53999996,10.30000019,3.039999962,0.090000004
2.5,1455,8.199999809,41.40000153,0.519999981,23,,0.200000003,19.10000038,6,0.02,43.09999847,2.579999924,14.19999981,13.60000038,0.150000006,12.5,10.19999981,3.720000029,0.079999998
5,1650,7.659999847,42.20999908,0.629999995,22.63999939,,0.180000007,18.53000069,8.109999657,0.07,46.75,3.130000114,6.380000114,13.85999966,0.140000001,13.39000034,13.60000038,2.25,0.050000001
5,1675,6.650000095,42.36000061,0.49000001,23.04999924,,0.189999998,19.23999977,8.180000305,0.059999999,47.34999847,1.929999948,10.14999962,10.68999958,0.170000002,13.59000015,12.80000019,2.430000067,0.079999998
5,1700,5,42.77999878,0.5,23.61000061,,0.140000001,20.32999992,8.210000038,0.059999999,46.99000168,1.129999995,12.48999977,8.659999847,0.159999996,15.31999969,12.47000027,1.799999952,0.050000001
2,1250,19.62000084,38.99000168,1.100000024,22.27000046,,0.469999999,10.84000015,6.960000038,0.050000001,52.41999817,6.659999847,14.48999977,11.40999985,0.119999997,3.25,7.739999771,3.74000001,0.159999996
2,1325,16.51000023,39.88999939,0.800000012,23.20000076,,0.430000007,12.48999977,7.619999886,0.07,52.54999924,2.960000038,17.52000046,9.979999542,0.140000001,4.170000076,8.25,4.360000134,0.050000001
2.5,1325,18.86000061,39.86000061,0.819999993,22.80999947,,0.430000007,10.38000011,8.140000343,0.079999998,58.41999817,4.230000019,15.51000023,8.25,0.100000001,2.529999971,7.059999943,3.779999971,0.129999995
3,1315,19.63999939,39.25,0.839999974,22.43000031,,0.409999996,9.399999619,8.529999733,0.109999999,55.18999863,6.070000172,14.71000004,9.06000042,0.100000001,2.220000029,7.840000153,3.680000067,1.139999986
3,1325,19.18000031,39.06999969,1.00999999,22.40999985,,0.409999996,10.03999996,7.889999866,0.129999995,56.34999847,6.25,14.93999958,8.420000076,0.090000004,2.309999943,6.920000076,4.199999809,0.50999999
3,1335,19.59000015,39.15999985,1.019999981,22.54000092,,0.439999998,9.81000042,8.31000042,0.119999997,55.97999954,6.650000095,14.92000008,8.369999886,0.090000004,2.130000114,7.28000021,4.019999981,0.569999993
3,1335,19.21999931,38.84999847,0.970000029,22.30999947,,0.409999996,9.93999958,7.940000057,0.109999999,57.22000122,5.659999847,15.35000038,8.020000458,0.100000001,2.279999971,7.139999866,3.940000057,0.280000001
3,1335,19.62000084,39.49000168,1.00999999,22.76000023,,0.430000007,9.859999657,8.300000191,0.140000001,56.61999893,6.46999979,14.93000031,7.909999847,0.090000004,2.190000057,6.829999924,4.139999866,0.810000002
3,1350,18.92000008,39.15000153,0.810000002,22.47999954,,0.389999986,9.859999657,8.06000042,0.090000004,56.02999878,6.380000114,15.31000042,8.270000458,0.090000004,2.390000105,7.440000057,3.769999981,0.310000002
3,1365,18.85000038,39.09000015,0.959999979,22.53000069,,0.400000006,10.10999966,8.210000038,0.100000001,56.06999969,5.889999866,15.36999989,8.340000153,0.100000001,2.440000057,7.610000134,3.950000048,0.239999995
3,1375,18.5,38.43000031,1,22.09000015,,0.409999996,10.39000034,8.130000114,0.100000001,57,4.639999866,15.68999958,8.460000038,0.090000004,2.75,7.420000076,3.819999933,0.129999995
3,1400,18.40999985,39.79999924,0.949999988,22.93000031,,0.400000006,10.84000015,8.31000042,0.109999999,54.63999939,4.539999962,16.03000069,9.43999958,0.119999997,3.099999905,8.220000267,3.789999962,0.119999997
3,1425,16.53000069,39.90000153,0.850000024,22.38999939,,0.400000006,11.5,8.270000458,0.079999998,53.47000122,3.769999981,15.78999996,9.869999886,0.170000002,4,8.979999542,3.349999905,0.07
3,1450,15.81999969,39.38999939,0.670000017,22.63999939,,0.409999996,11.77000046,8.619999886,0.090000004,51.88999939,3.190000057,16.48999977,10.14999962,0.150000006,4.610000134,9.420000076,3.5,0.07
3,1475,13.90999985,40.20999908,0.720000029,23.05999947,,0.379999995,13.5,7.760000229,0.07,50.90999985,2.769999981,16.32999992,10.02000046,0.159999996,5.480000019,9.699999809,3.200000048,0.050000001
2,1325,15.88000011,39.40999985,0.75999999,22.97999954,,0.439999998,13.05000019,7.269999981,0.050000001,52.81000137,2.74000001,17.10000038,9.359999657,0.129999995,4.019999981,8.050000191,4.210000038,0.519999981
3,1275,19.17000008,39.52999878,0.850000024,22.56999969,,0.430000007,9.850000381,8.449999809,0.119999997,63.63999939,3.329999924,15.35000038,5.179999828,0.059999999,1.529999971,4.929999828,4.340000153,1.629999995
5,1400,14.93999958,40.84999847,0.850000024,21.85000038,0.100000001,0.319999993,11.56999969,9.229999542,0.330000013,61.66999817,4.670000076,11.72000027,5.570000172,0.07,1.169999957,3.349999905,1.059999943,6.639999866
20,2280,8.760000229,46.33000183,0.519999981,19.21999931,0.090000004,0.209999993,12.43999958,10.71000004,2.170000076,54.27999878,0.660000026,15.89000034,7.300000191,0.189999998,9.449999809,8.920000076,2.200000048,1.899999976
22.5,2400,8.180000305,46.15000153,0.49000001,17.97999954,0.730000019,0.200000003,11.72000027,11.39999962,2.549999952,44.09999847,2.309999943,12.18000031,11.31999969,0.159999996,7.550000191,9.279999733,3.690000057,0.74000001
2.799999952,1570,7.5,40.90000153,0.289999992,22.5,1.649999976,0.209999993,21.39999962,3.579999924,,45.5,1.25,11.80000019,12.19999981,0.230000004,15.60000038,6.96999979,3.480000019,0.379999995
2.799999952,1562,8.710000038,41.09999847,0.439999998,23,0.99000001,0.140000001,20.39999962,4.099999905,,45.70000076,1.5,11.60000038,13.60000038,0.159999996,14.60000038,7.179999828,3.329999924,0.479999989
2.799999952,1555,7.429999828,42,0.569999993,22.39999962,1.129999995,0.140000001,21.29999924,4.139999866,,45.5,1.649999976,12.5,11.60000038,0.100000001,15.69999981,7.380000114,2.950000048,0.610000014
2.799999952,1565,6.420000076,42,0.5,22.29999924,1.470000029,0.170000002,22.70000076,3.799999952,,45,1.470000029,13.10000038,9.819999695,0.129999995,14.89999962,6.150000095,4.429999828,1.720000029
2.799999952,1545,6.46999979,42,0.5,22.39999962,1.75999999,0.170000002,22.5,4.090000153,,45.09999847,1.480000019,13.19999981,9.739999771,0.140000001,14.39999962,6.380000114,4.570000172,1.710000038
2.799999952,1515,8.020000458,41.79999924,0.649999976,22.29999924,1.059999943,0.200000003,20.79999924,4.889999866,,44.59999847,1.909999967,12.89999962,10.39999962,0.119999997,11.39999962,5.730000019,6.5,2.619999886
2.799999952,1525,6.809999943,42.40000153,0.569999993,23.39999962,0.769999981,0.150000006,22.5,3.650000095,,45.59999847,1.730000019,13,9.699999809,0.109999999,13.60000038,5.730000019,5.28000021,2.039999962
2.799999952,1530,7.190000057,42.5,0.540000021,23,0.839999974,0.170000002,22.39999962,3.690000057,,45.79999924,1.629999995,12.89999962,9.399999619,0.119999997,14,5.760000229,5.639999866,1.950000048
2.400000095,1480,7.679999828,42.29999924,0.660000026,23.39999962,0.879999995,0.159999996,21.29999924,4.309999943,,45.70000076,1.860000014,14.30000019,9.5,0.100000001,11.60000038,5.880000114,5.559999943,2.170000076
2.799999952,1595,4.75,43,0.140000001,22.89999962,0.860000014,0.02,22.10000038,5.519999981,,45,0.300000012,13,7.699999809,,17.89999962,11.10000038,1.200000048,0.100000001
25,2200,2.829999924,56.54999924,,4.739999771,,,34.91999817,1.649999976,,41.59999847,,1.029999971,9.100000381,,46.58000183,2.079999924,,
27,2430,8.619999886,49.20999908,0.239999995,17.35000038,0.029999999,0.209999993,15.22000027,5.070000172,3.099999905,45.79999924,2.329999924,12.85999966,17.22999954,0.230000004,10.36999989,6.889999866,3.930000067,0.330000013
12,1900,5.480000019,51.13999939,0.140000001,8.640000343,1.110000014,0.129999995,28.61000061,4.570000172,0.109999999,44.72000122,0.419999987,1.039999962,13.60000038,0.180000007,30.29000092,8.569999695,0.649999976,0.039999999
12,2000,4.21999979,50.77000046,0.090000004,10.47999954,1.25,0.100000001,29.61000061,3.380000114,0.059999999,44.97999954,0.319999993,1.600000024,11.81000042,0.170000002,33.25999832,6.800000191,0.460000008,0.01
12,2020,2.789999962,50.24000168,0.039999999,12.81999969,1.169999957,0.07,31.22999954,1.519999981,0.039999999,45.84000015,0.150000006,2.829999924,9.039999962,0.140000001,36.81999969,4.239999771,0.25,0.01
13,2000,2.710000038,51.04000092,0.039999999,11.92000008,1.070000052,0.07,31.61000061,1.480000019,0.029999999,44.65000153,0.209999993,2.140000105,10.10999966,0.150000006,36.88999939,5.03000021,0.180000007,0.01
4.599999905,1150,10.36999989,41.08000183,0.959999979,19.17000008,0.910000026,0.330000013,21.94000053,5.599999905,0.050000001,8.010000229,2.180000067,1.200000048,7.960000038,0.209999993,19.29000092,15.89000034,2.630000114,10.67000008
6,1250,8.56000042,40.93999863,0.949999988,20.22999954,1.5,0.270000011,22.37999916,4.28000021,0.039999999,13.07999992,2.779999971,3.380000114,7.690000057,0.219999999,19.34000015,12.05000019,0.629999995,4.989999771
6,1480,4.360000134,42.99000168,0.379999995,22.42000008,2.569999933,0.200000003,25.5,3,0.07,33.61999893,1.220000029,4.46999979,5.449999809,0.200000003,24.46999931,7.900000095,0.769999981,5.28000021
7.5,1300,8.829999924,41.11999893,1.190000057,19.30999947,2.25999999,0.310000002,21.37000084,4.920000076,0.079999998,13.47999954,1.940000057,0.949999988,7.579999924,0.219999999,16.92000008,11.44999981,2.039999962,9.06000042
8,1500,5.639999866,43.59999847,0.5,19.63999939,2.789999962,0.189999998,24.48999977,3.50999999,0.039999999,27.65999985,1.320000052,1.99000001,8.710000038,0.230000004,23.11000061,8.800000191,0.899999976,2.940000057
1.799999952,1225,19.89999962,38.70000076,1.059999943,21.89999962,,0.370000005,11,6.449999809,0.059999999,50.70000076,4.349999905,14.60000038,11.39999962,0.119999997,4,6.510000229,4.199999809,1.090000033
2.309999943,1450,13.80000019,40.59999847,0.349999994,23.20000076,1.549999952,0.25,15.80000019,6.289999962,,44.29999924,0.589999974,11.10000038,19,0.289999992,10.5,12,0.25,0.01
1.5,1250,16,39.20000076,0.680000007,22.45000076,0.079999998,0.49000001,14.56999969,5.590000153,,47.5,0.949999988,20.03000069,9.119999886,0.150000006,5.630000114,6.460000038,3.75999999,2.650000095
2,1400,10.5,41.59999847,0.419999987,23.87000084,0.200000003,0.319999993,18.65999985,5.829999924,,49.09999847,0.680000007,17.80999947,8.649999619,0.159999996,8.229999542,9.369999886,3.099999905,0.819999993
2,1375,11.80000019,39.70000076,0.479999989,23.11000061,0.200000003,0.330000013,16.80999947,6.320000172,,50.40000153,0.850000024,17.86000061,9.170000076,0.150000006,7.760000229,9.289999962,3.029999971,0.980000019
2,1350,12.96000004,41.5,0.569999993,22.5,0.209999993,0.319999993,15.44999981,6.650000095,,51,0.939999998,17.68000031,8.899999619,0.119999997,6.139999866,8.180000305,3.680000067,1.379999995
2,1325,13.31999969,40.70000076,0.560000002,21.97999954,0.100000001,0.310000002,15.63000011,6.739999771,,50.5,0.930000007,18.81999969,9.359999657,0.119999997,4.880000114,7.619999886,4.199999809,1.690000057
2,1300,13.88000011,40.09999847,0.50999999,22.81999969,0.119999997,0.330000013,15.77000046,6.130000114,,52,0.99000001,18.21999931,7.690000057,0.100000001,4.25,6.199999809,4.820000172,2.299999952
1.600000024,1260,7.239999771,42.29999924,0.180000007,23.60000038,0.660000026,0.270000011,19.60000038,6.5,0.01,43.90000153,0.660000026,17.19000053,7.360000134,0.079999998,11.78999996,10.39999962,2.369999886,0.119999997
1.600000024,1255,7.099999905,42.79999924,0.170000002,24,0.819999993,0.25999999,19.39999962,6.5,0.02,43.70000076,0.589999974,16.79999924,7.349999905,0.159999996,11.92000008,10.47999954,2.170000076,0.090000004
1.600000024,1230,8.300000191,41.79999924,0.180000007,23.29999924,0.699999988,0.319999993,18.60000038,6.800000191,0.02,44.20000076,0.660000026,16.81999969,7.769999981,0.129999995,11.43000031,9.859999657,2.420000076,0.109999999
2,1290,7.539999962,42.09999847,0.109999999,23.70000076,0.600000024,0.270000011,19.5,5.900000095,,43.88000107,0.639999986,15.40999985,8.210000038,0.119999997,13.35999966,10.25,2.200000048,0.100000001
2,1275,7.099999905,42.20000076,0.140000001,23.89999962,0.5,0.25,19.89999962,6.099999905,0.01,43.59999847,0.649999976,15.02999973,7.739999771,0.109999999,12.69999981,9.840000153,2.410000086,0.119999997
2.5,1490,8.100000381,41,0.920000017,23.79999924,,,17.70000076,8.600000381,,45.79999924,1.090000033,21,8.100000381,0.039999999,9.800000191,14.19999981,0.289999992,0.159999996
3,1450,14.55000019,41.09000015,0.550000012,23.32999992,,0.419999987,12.65999985,9.090000153,0.059999999,57.13999939,0.660000026,18.06999969,7.559999943,0.129999995,3.49000001,10.01000023,2.279999971,0.430000007
3,1400,16.34000015,40.18000031,0.75999999,22.97999954,,0.409999996,10.98999977,9.680000305,0.029999999,59.63999939,1.00999999,17.67000008,6.25,0.07,2.24000001,8.779999733,2.819999933,0.870000005
2.299999952,1275,17.46999931,40.40000153,0.629999995,23.09000015,,0.379999995,11.09000015,8.789999962,0.050000001,56.70999908,0.670000017,17.20000076,6.420000076,0.090000004,3.470000029,9.340000153,3.079999924,0.629999995
2.599999905,1433,11.40999985,41.34000015,0.910000026,23.14999962,,0.310000002,17.11000061,5.400000095,0.150000006,51.72000122,1.700000048,16.70999908,10.89999962,0.119999997,8.340000153,8.579999924,2.220000029,0.090000004
2.700000048,1410,11.68999958,40.20999908,0.430000007,23.85000038,,0.389999986,15.26000023,7.590000153,0.050000001,52.47999954,0.720000029,18.77000046,7.739999771,0.159999996,4.940000057,9.899999619,1.720000029,0.340000004
1.899999976,1416,6.389999866,43.09999847,0.119999997,23.79999924,0.140000001,0.07,21.70000076,5.289999962,,45.40000153,0.479999989,16.29999924,8.949999809,0.059999999,14.30000019,11,2.160000086,0.079999998
1.700000048,1366,6.389999866,43.29999924,0.170000002,23.10000038,1.059999943,0.090000004,20.70000076,6.420000076,,44.5,0.629999995,15.60000038,6.940000057,,15,11.5,2.849999905,0.140000001
