P(Gpa),T©,Fe2O3 value,converted,FeO value,SiO2 value,TiO2 value,Al2O3 value,Feo total,MnO value,MgO value,CaO value,Na2O value,K2O value,SiO2 value,TiO2 value,Al2O3 value,FeO value,MnO value,MgO value,CaO value,Na2O value,K2O value,H2O value
0.228,930,3.24000001,2.915504373,5.170000076,45.02000046,1.980000019,9.399999619,8.085504449,0.100000001,17.20999908,11.27000046,2.079999924,0.389999986,60.22000122,0.639999986,16.44000053,2.190000057,0.039999999,2.049999952,4.619999886,4.119999886,1.789999962,5.800000191
0.141000003,909,2.359999895,2.123638887,6.039999962,45.45999908,1.360000014,10.64000034,8.163638849,0.100000001,15.69999981,9.640000343,1.899999976,0.449999988,65.97000122,0.479999989,14.71000004,1.809999943,0.02,0.579999983,2.00999999,4.650000095,2.630000114,4.650000095
0.132400006,925,2.529999971,2.27661295,6.360000134,43.84999847,2.390000105,11.10000038,8.636613084,0.129999995,16.11000061,11.11999989,2.25999999,0.379999995,64.27999878,0.629999995,15.48999977,2.25,0.050000001,2.119999886,3.380000114,4.340000153,2.269999981,4.420000076
0.151500002,773,,0,22.25,46.54000092,1.320000052,3,22.25,0.529999971,6.670000076,9.449999809,3.160000086,1.019999981,74.20999908,0.170000002,11.77000046,2.680000067,0.100000001,0.029999999,0.319999993,4.519999981,4.940000057,
0.1505,661,,0,33.06999969,48.29000092,0.790000021,1.399999976,33.06999969,0.660000026,0.769999981,2.480000019,5.900000095,0.899999976,75.15000153,0.039999999,10.59000015,3.00999999,0.029999999,0.01,0.039999999,6,4.210000038,
0.1558,678,,0,37.40999985,48.36000061,0.870000005,0.920000017,37.40999985,0.790000021,0.660000026,1.440000057,6.699999809,0.839999974,70.95999908,0.310000002,10.5,4.980000019,0.039999999,0.02,0.02,6.300000191,3.980000019,
0.1558,678,,0,35.72000122,49.63000107,0.959999979,0.99000001,35.72000122,0.680000007,0.370000005,0.790000021,7.789999962,1.070000052,69.87000275,0.289999992,10.10999966,5.320000172,0.100000001,0.029999999,0.050000001,6.96999979,3.880000114,
0.150000006,731,,0,30.43000031,51.27000046,0.829999983,1.74000001,30.43000031,0.620000005,0.310000002,0.200000003,8.659999847,1.539999962,63.97000122,0.699999988,8.569999695,7.369999886,0.200000003,0.02,0.050000001,8.93999958,4.889999866,
0.151999995,729,,0,33.63999939,49.79000092,0.939999998,1.419999957,33.63999939,0.50999999,0.529999971,0.430000007,7.920000076,1.370000005,63.74000168,0.560000002,8.43999958,8.829999924,0.25999999,0.01,0.090000004,8.130000114,4.570000172,
0.221200004,785,,0,10.68999958,48.34999847,1.080000043,9.100000381,10.68999958,0.389999986,16.28000069,9.800000191,1.620000005,0.330000013,75.54000092,0.170000002,14.38000011,1.039999962,0.07,0.379999995,1.950000048,3.690000057,2.779999971,7.880000114
0.223800004,776,,0,17.62999916,47.04000092,1.559999943,7.639999866,17.62999916,0.310000002,12.77000046,9,1.649999976,0.150000006,75.45999908,0.25999999,13.96000004,1.00999999,0.119999997,0.699999988,2.089999914,3.640000105,2.75999999,7.420000076
0.223800004,776,,0,13.05000019,48.97000122,1.49000001,7.119999886,13.05000019,0.560000002,14.14999962,10.5,1.24000001,0.230000004,75.93000031,0.230000004,14.03999996,0.870000005,0.079999998,0.540000021,2,3.599999905,2.730000019,7.760000229
0.223800004,776,,0,13.88000011,49.00999832,1.230000019,8.850000381,13.88000011,0.310000002,12.06000042,9,1.639999986,0.389999986,75.61000061,0.219999999,14.19999981,1.149999976,0.059999999,0.400000006,1.940000057,3.49000001,2.940000057,7.940000057
0.223800004,776,,0,11.31000042,49.45000076,1.570000052,7.559999943,11.31000042,0.479999989,15.15999985,10.5,1.460000038,0.219999999,76.16000366,0.230000004,14.27000046,0.949999988,0.050000001,0.389999986,1.74000001,3.359999895,2.869999886,8.109999657
0.2245,776,,0,12.44999981,48.00999832,1.190000057,8.579999924,12.44999981,0.379999995,13.85000038,9.609999657,1.379999995,0.310000002,75.69000244,0.25999999,14.03999996,1.269999981,0.100000001,0.389999986,1.919999957,3.529999971,2.799999952,8.220000267
0.2245,776,,0,12.39000034,52.56999969,1.470000029,6.889999866,12.39000034,0.680000007,15.85999966,8.869999886,1.149999976,0.209999993,77.08000183,0.159999996,14.03999996,0.949999988,0.090000004,0.340000004,1.529999971,3.410000086,2.400000095,8.090000153
0.230000004,834,,0,11.13000011,46.68000031,1.669999957,9.949999809,11.13000011,0.270000011,14.17000008,10.43999958,2.089999914,0.400000006,73.58999634,0.330000013,15.60999966,1.600000024,0.059999999,0.409999996,2.150000095,3.839999914,2.410000086,7.800000191
0.230000004,834,,0,10.43999958,47.08000183,1.820000052,9.789999962,10.43999958,0.300000012,14.52000046,10.46000004,2.069999933,0.400000006,74.45999908,0.349999994,15.27999973,1.00999999,0.090000004,0.270000011,1.929999948,4.099999905,2.519999981,7.760000229
0.230000004,834,,0,10.23999977,48.77000046,1.769999981,8.909999847,10.23999977,0.330000013,14.34000015,10.09000015,1.970000029,0.439999998,75.08999634,0.319999993,14.06999969,1.679999948,0.079999998,0.310000002,1.779999971,3.799999952,2.859999895,6.559999943
0.208800003,866,,0,13.47999954,45.58000183,1.970000029,9.890000343,13.47999954,0.289999992,14.22999954,10.39999962,1.99000001,0.239999995,73.25,0.25999999,15.72000027,1.809999943,0.059999999,0.270000011,2.25999999,3.880000114,2.49000001,7.78000021
